video_name,frame_index,encode_type,key_used,decoded_bits,recovered_bits,matched_bits,hamming_distance,similarity,raw_msg,is_exact_match
0_encoded,138,multibit,video_Watermark,00010111001001101110001111001101100000000010011010100010,000101110010011011100011,01110010011001010111001101100101110000010110000010101000,19,0.6607142857142857,reserved,False
0_encoded,139,multibit,video_Watermark,00000111001010101000000110000000100000010010011011110110,000001110010101010000001,01100010011110010000000000000000101001010000011001110101,17,0.6964285714285714,by,False
0_encoded,140,multibit,video_Watermark,00000111001010101010100111001000000010000010011011110110,000001110010101010101001,,24,,,False
0_encoded,141,multibit,video_Watermark,00000111001000101010101111011000000010000010011010110110,000001110010001010101011,,28,,,False
0_encoded,142,multibit,video_Watermark,00000111001010101100010111010000000000100010011011010011,000001110010101011000101,,25,,,False
0_encoded,143,multibit,video_Watermark,00000111001010101100110010000000000011100011011111010011,000001110010101011001100,01000001011011000110110000000000010011010101101111001001,19,0.6607142857142857,All,False
0_encoded,144,multibit,video_Watermark,00010111001010101110011111001000101011000010000111110110,000101110010101011100111,01110010011010010110011101101000111111011001100111110110,17,0.6964285714285714,rights,False
0_encoded,145,multibit,video_Watermark,10000111001010101110001111011010101010000010011011110111,100001110010101011100011,,25,,,False
0_encoded,146,multibit,video_Watermark,10000111001010101110101111011010001010000010011010110110,100001110010101011101011,,29,,,False
0_encoded,147,multibit,video_Watermark,00010111001001101110001111001101100000000010001010100010,000101110010011011100011,01110010011001010111001101100101110000010110000010101000,18,0.6785714285714286,reserved,False
0_encoded,148,multibit,video_Watermark,00000111001010101000000111001101101000000010011010110111,000001110010101010000001,01100010011110010000000000000000101001010000011001110101,21,0.625,by,False
0_encoded,149,multibit,video_Watermark,00000111001010101100010111011000000000110010011011010011,000001110010101011000101,,25,,,False
0_encoded,150,multibit,video_Watermark,00000111001000101100000111011010000010000010011010110110,000001110010001011000001,,27,,,False
0_encoded,151,multibit,video_Watermark,00000111001000101100010111011010000000000010011010110010,000001110010001011000101,,28,,,False
0_encoded,152,multibit,video_Watermark,00000111001011101110110000011000000010000011011111010011,000001110010111011101100,01000001011011000110110000000000010011010101101111001001,18,0.6785714285714286,All,False
