img,attack,log10_pvalue,R,marked,param0
1,blur,-7.8432868556984445,48599.8125,True,19.0
1,jpeg,-0.9246719321244946,-139315.96875,False,10.0
1,jpeg,-2.003291608497828,-106313.125,False,20.0
1,jpeg,-3.5616211220017577,-57776.0078125,False,30.0
1,jpeg,-6.240306323682436,5097.40625,True,40.0
1,jpeg,-7.807983598445836,36611.9140625,True,50.0
1,jpeg,-12.825176476428089,129876.2734375,True,60.0
1,jpeg,-21.431868739105933,296943.59375,True,70.0
1,jpeg,-38.472410497447555,703793.875,True,80.0
1,jpeg,-62.0849340482245,1433896.5,True,90.0
1,jpeg,-97.74232299126741,3398182.5,True,100.0
1,contrast,-0.2784790274846511,-42438.21484375,False,0.0
1,contrast,-90.68471026948085,2967894.0,True,0.5
1,contrast,-106.65795830640825,4554893.0,True,1.0
1,contrast,-60.54204669973936,1519024.5,True,1.5
1,contrast,-32.83248406656486,585768.9375,True,2.0
1,brightness,-89.55261126290439,2738678.25,True,0.5
1,brightness,-106.65795830640825,4554893.0,True,1.0
1,brightness,-83.50166073579028,2723601.25,True,1.5
1,brightness,-67.81214091226863,1545746.875,True,2.0
1,hue,-28.139722321180933,390360.6875,True,-0.5
1,hue,-51.47058165323604,957956.9375,True,-0.25
1,hue,-106.30207034445081,4499395.5,True,0.0
1,hue,-52.090491745753575,1029701.6875,True,0.25
1,hue,-28.535390211245378,396986.1875,True,0.5
1,hue,-55.66286653011465,1159655.625,True,0.2
2,none,-43.811791220963,24935668.0,True,-1.0
2,meme_format,-34.63552878429606,3688410.5,True,-1.0
2,overlay_onto_screenshot,-11.278693304079397,38415.69140625,True,-1.0
2,rotation,-43.811791220963,24935668.0,True,0.0
2,rotation,-33.77550485010266,8398192.0,True,5.0
2,rotation,-33.69556150378074,7791427.5,True,10.0
2,rotation,-32.74472197898904,6359098.5,True,15.0
2,rotation,-31.865906038074918,5528282.0,True,20.0
2,rotation,-32.13074340461676,5070820.0,True,25.0
2,rotation,-32.35571816022951,4632680.5,True,30.0
2,rotation,-32.27814959496218,4316503.5,True,35.0
2,rotation,-34.89941217742633,4311298.0,True,40.0
2,center_crop,-10.292882299706749,646981.625,True,0.1
2,center_crop,-16.165381863957194,1020837.75,True,0.2
2,center_crop,-25.3161016047274,2149768.5,True,0.30000000000000004
2,center_crop,-30.50949801456722,4108002.75,True,0.4
2,center_crop,-33.30745421252587,4200294.0,True,0.5
2,center_crop,-32.00411682592705,4431556.5,True,0.6000000000000001
2,center_crop,-37.008294260633285,8662292.0,True,0.7000000000000001
2,center_crop,-33.91329673081551,6116286.0,True,0.8
2,center_crop,-32.86422891976179,7925680.5,True,0.9
2,center_crop,-43.811791220963,24935668.0,True,1.0
2,resize,-0.1327391033679269,-286994.84375,False,0.1
2,resize,-2.7619831370892456,-99510.3125,False,0.2
2,resize,-13.168372548686266,383253.03125,True,0.30000000000000004
2,resize,-22.738537381377203,2139944.5,True,0.4
2,resize,-29.883700987980365,4177832.0,True,0.5
2,resize,-30.278745034107192,5057777.0,True,0.6000000000000001
2,resize,-31.62619482323466,9704600.0,True,0.7000000000000001
2,resize,-32.02687123640618,7915820.0,True,0.8
2,resize,-31.50842972794355,9879350.0,True,0.9
2,resize,-43.811791220963,24935668.0,True,1.0
2,blur,-38.371053603659384,19591482.0,True,3.0
2,blur,-38.08182439745792,17075712.0,True,5.0
2,blur,-38.57749959121671,14969560.0,True,7.0
2,blur,-38.22618429930258,13129704.0,True,9.0
2,blur,-38.18668650197401,11268227.0,True,11.0
2,blur,-38.35840602749079,9253829.0,True,13.0
2,blur,-36.606278084562,6394280.0,True,15.0
2,blur,-32.76219181709115,3595746.75,True,17.0
2,blur,-24.52130701728304,1691215.0,True,19.0
2,jpeg,-1.9370658532212395,-267054.84375,False,10.0
2,jpeg,-1.3499186457195091,-190019.734375,False,20.0
2,jpeg,-1.9104787646634915,-137983.1875,False,30.0
2,jpeg,-2.756343246601833,-92183.421875,False,40.0
2,jpeg,-4.529259875020561,-43983.0,False,50.0
2,jpeg,-9.600978111865372,112252.84375,True,60.0
2,jpeg,-21.908544985143195,669217.1875,True,70.0
2,jpeg,-34.986126173460214,2676093.0,True,80.0
2,jpeg,-39.89594229451073,7776746.5,True,90.0
2,jpeg,-41.380315417555245,20780272.0,True,100.0
2,contrast,-0.04318942216848746,-53439.09375,False,0.0
2,contrast,-39.668358110516635,18243654.0,True,0.5
2,contrast,-43.811791220963,24935668.0,True,1.0
2,contrast,-43.4914288832686,23041128.0,True,1.5
2,contrast,-40.89050095667933,19707002.0,True,2.0
2,brightness,-39.14179010333411,19166556.0,True,0.5
2,brightness,-43.811791220963,24935668.0,True,1.0
2,brightness,-2.008701814922336,-127510.21875,False,1.5
2,brightness,-1.0978251461228203,-65851.1953125,False,2.0
2,hue,-30.933529744188387,3517266.25,True,-0.5
